204,MB,-6,Manitoba - Canada
226,ON,-5,Ontario - Canada
250,BC,-8,British Columbia - Canada
289,ON,-5,Ontario - Canada
306,SK,-7,Saskatchewan - Canada
403,AB,-7,Alberta - Canada
416,ON,-5,Ontario - Canada
418,QC,-5,Quebec - Canada
438,QC,-5,Quebec - Canada
450,QC,-5,Quebec - Canada
506,NB,-4,New Brunswick - Canada
514,QC,-5,Quebec - Canada
519,ON,-5,Ontario - Canada
604,BC,-8,British Columbia - Canada
613,ON,-5,Ontario - Canada
647,ON,-5,Ontario - Canada
705,ON,-5,Ontario - Canada
709,NL,-4,Newfoundland - Canada
778,BC,-8,British Columbia - Canada
780,AB,-7,Alberta - Canada
807,ON,-5,Ontario - Canada
867,YT,-6,Territories - Canada
902,NS,-4,Nova Scotia/PEI - Canada
905,ON,-5,Ontario - Canada
